"goods_id";"goods_name";"cat_id";"brand_id";"goods_sn";"goods_number";"shop_price";"market_price";"click_count"
1;"kd876";4;8;"ecs000000";1;1388.0;1665.6;9
4;"诺基亚n85原装充电器";8;1;"ecs000004";17;58.0;69.6;0
3;"诺基亚原装5800耳机";8;1;"ecs000002";24;68.0;81.6;3
5;"索爱原装m2卡读卡器";11;7;"ecs000005";8;20.0;24.0;3
6;"胜创kingmax内存卡";11;0;"ecs000006";15;42.0;50.4;0
7;"诺基亚n85原装立体声耳机hs-82";8;1;"ecs000007";20;100.0;120.0;0
8;"飞利浦9@9v";3;4;"ecs000008";1;399.0;478.79;10
9;"诺基亚e66";3;1;"ecs000009";4;2298.0;2757.6;20
10;"索爱c702c";3;7;"ecs000010";7;1328.0;1593.6;11
11;"索爱c702c";3;7;"ecs000011";1;1300.0;1500.0;0
12;"摩托罗拉a810";3;2;"ecs000012";8;983.0;1179.6;13
13;"诺基亚5320 xpressmusic";3;1;"ecs000013";8;1311.0;1573.2;13
14;"诺基亚5800xm";4;1;"ecs000014";1;2625.0;3150.0;6
15;"摩托罗拉a810";3;2;"ecs000015";3;788.0;945.6;8
16;"恒基伟业g101";2;11;"ecs000016";0;823.33;988.0;3
17;"夏新n7";3;5;"ecs000017";1;2300.0;2760.0;2
18;"夏新t5";4;5;"ecs000018";1;2878.0;3453.6;0
19;"三星sgh-f258";3;6;"ecs000019";12;858.0;1029.6;7
20;"三星bc01";3;6;"ecs000020";12;280.0;336.0;14
21;"金立 a30";3;10;"ecs000021";40;2000.0;2400.0;4
22;"多普达touch hd";3;3;"ecs000022";1;5999.0;7198.8;16
23;"诺基亚n96";5;1;"ecs000023";8;3700.0;4440.0;17
24;"p806";3;9;"ecs000024";100;2000.0;2400.0;35
25;"小灵通/固话50元充值卡";13;0;"ecs000025";2;48.0;57.59;0
26;"小灵通/固话20元充值卡";13;0;"ecs000026";2;19.0;22.8;0
27;"联通100元充值卡";15;0;"ecs000027";2;95.0;100.0;0
28;"联通50元充值卡";15;0;"ecs000028";0;45.0;50.0;0
29;"移动100元充值卡";14;0;"ecs000029";0;90.0;100.0;0
30;"移动20元充值卡";14;0;"ecs000030";9;18.0;21.0;1
31;"摩托罗拉e8 ";3;2;"ecs000031";1;1337.0;1604.39;5
32;"诺基亚n85";3;1;"ecs000032";4;3010.0;3612.0;9
https://blog.csdn.net/qq_41936662/article/details/80393172
